"ANIO","CVE_MES","CVE_ENT","INDICADOR"
2016,12,15,2
2017,12,15,5
2018,12,15,14
2019,12,15,15
2020,12,15,14
2021,12,15,13
2015,1,16,0
2016,1,16,1
2017,1,16,3
2018,1,16,4
2019,1,16,0
2020,1,16,0
2021,1,16,1
2022,1,16,3
2015,2,16,0
2016,2,16,0
2017,2,16,5
2018,2,16,1
2019,2,16,2
2020,2,16,1
2021,2,16,2
2022,2,16,3
2015,3,16,0
2016,3,16,3
2017,3,16,4
2018,3,16,4
2019,3,16,1
2020,3,16,5
2021,3,16,3
2022,3,16,1
2015,4,16,1
2016,4,16,1
2017,4,16,1
2018,4,16,1
2019,4,16,1
2020,4,16,1
2021,4,16,1
2022,4,16,4
2015,5,16,0
2016,5,16,2
2017,5,16,4
2018,5,16,0
2019,5,16,0
2020,5,16,1
2021,5,16,2
2022,5,16,1
2015,6,16,1
2016,6,16,1
2017,6,16,2
2018,6,16,2
2019,6,16,0
2020,6,16,1
2021,6,16,5
2022,6,16,2
2015,7,16,1
2016,7,16,3
2017,7,16,2
2018,7,16,0
2019,7,16,3
2020,7,16,2
2021,7,16,3
2015,8,16,0
2016,8,16,2
2017,8,16,3
2018,8,16,2
2019,8,16,0
2020,8,16,2
2021,8,16,3
2015,9,16,3
2016,9,16,2
2017,9,16,1
2018,9,16,4
2019,9,16,0
2020,9,16,1
2021,9,16,2
2015,10,16,3
2016,10,16,2
2017,10,16,0
2018,10,16,1
2019,10,16,3
2020,10,16,1
2021,10,16,1
2015,11,16,2
2016,11,16,6
2017,11,16,0
2018,11,16,0
2019,11,16,2
2020,11,16,3
2021,11,16,1
2015,12,16,1
2016,12,16,2
2017,12,16,4
2018,12,16,2
2019,12,16,1
2020,12,16,3
2021,12,16,3
2015,1,17,1
2016,1,17,0
2017,1,17,5
2018,1,17,1
2019,1,17,0
2020,1,17,4
2021,1,17,5
2022,1,17,0
2015,2,17,1
2016,2,17,1
2017,2,17,2
2018,2,17,2
2019,2,17,5
2020,2,17,3
2021,2,17,2
2022,2,17,3
2015,3,17,1
2016,3,17,2
2017,3,17,2
2018,3,17,1
2019,3,17,3
2020,3,17,2
2021,3,17,5
2022,3,17,6
2015,4,17,1
2016,4,17,3
2017,4,17,4
2018,4,17,4
2019,4,17,2
2020,4,17,4
2021,4,17,3
2022,4,17,6
2015,5,17,0
2016,5,17,1
2017,5,17,4
2018,5,17,1
2019,5,17,3
2020,5,17,3
2021,5,17,3
2022,5,17,3
2015,6,17,0
2016,6,17,7
2017,6,17,6
2018,6,17,3
2019,6,17,3
2020,6,17,4
2021,6,17,3
2022,6,17,3
2015,7,17,1
2016,7,17,3
2017,7,17,3
2018,7,17,2
2019,7,17,2
2020,7,17,5
2021,7,17,0
2015,8,17,2
2016,8,17,5
2017,8,17,0
2018,8,17,1
2019,8,17,3
2020,8,17,2
2021,8,17,0
2015,9,17,1
2016,9,17,1
2017,9,17,0
2018,9,17,3
2019,9,17,6
2020,9,17,1
2021,9,17,1
2015,10,17,2
2016,10,17,1
2017,10,17,1
2018,10,17,2
2019,10,17,3
2020,10,17,1
2021,10,17,0
2015,11,17,3
2016,11,17,4
2017,11,17,0
2018,11,17,2
2019,11,17,4
2020,11,17,3
2021,11,17,1
2015,12,17,2
2016,12,17,2
2017,12,17,0
2018,12,17,6
2019,12,17,5
2020,12,17,3
2021,12,17,0
2015,1,18,0
2016,1,18,0
2017,1,18,0
2018,1,18,0
2019,1,18,1
2020,1,18,1
